recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,meta_run,meta_condition,meta_sfreq,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_gamma,exponent_high,exponent_low,lempel_ziv,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_delta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
S006@R01,eegmmidb_rest,S006,ok,,64,160,8800,R01,eyes_open,160.0,0.4705363494,0.1607451601,0.3458616334,1.132096634,6.411708944,1.799388025,1.623257328,0.7891032569,-0.06614735247,0.001986834872,0.02937496999,0.6857508233,0.02907555147,28.98901203,0.7051683556,0.9551793081,0.6777718452,0.06341654967
S006@R02,eegmmidb_rest,S006,ok,,64,160,8800,R02,eyes_closed,160.0,0.219859712,0.2582480653,0.1509254053,0.04559062149,6.702259892,1.451917328,0.9930291996,0.8705735434,-0.057137892,0.0005914372728,0.08456524704,0.3408071169,0.05310487424,38.31950588,0.8905404515,0.9301824245,0.7121950597,0.0731344999
S007@R01,eegmmidb_rest,S007,ok,,64,160,8800,R01,eyes_open,160.0,0.5876389422,0.1000241951,-0.0744311389,-0.3313566644,6.947505333,1.74898729,1.160468025,0.7953318721,-0.1753654516,0.0009614474014,0.2106160654,0.5135559496,0.03863040395,24.85285083,0.7818991495,2.150624505,1.317247588,0.08518947192
S007@R02,eegmmidb_rest,S007,ok,,64,160,8800,R02,eyes_closed,160.0,0.6478862814,0.06547327492,-0.1000864842,-0.3617415187,6.800227936,3.096893729,0.7267259528,0.7488975459,-0.1676176636,0.0005464618181,0.559442936,0.1327167483,0.04154318141,20.47541074,0.7924056656,1.94646474,1.304233085,0.07464526701
S008@R01,eegmmidb_rest,S008,ok,,64,160,8800,R01,eyes_open,160.0,0.5107279921,0.1044571959,0.3296131692,1.246025816,4.492728048,1.050726286,1.724576707,0.5248231149,0.0457706821,0.0006887749443,0.05320954619,0.6922997896,0.0439762259,26.14470876,0.6915802415,1.623324017,1.200786064,0.06693587955
S008@R02,eegmmidb_rest,S008,ok,,64,160,8800,R02,eyes_closed,160.0,0.5523803102,0.08662036279,0.2584462342,0.7552238705,4.77708152,1.411990468,1.284096677,0.5409552282,0.06653351473,0.0007903896671,0.2726968357,0.4775374459,0.03611766166,25.35068873,0.7514282942,1.976750588,1.32095527,0.1605648693
S009@R01,eegmmidb_rest,S009,ok,,64,160,8800,R01,eyes_open,160.0,0.3716079069,0.2577295681,0.2319713958,0.2597841505,-0.4525081987,0.4865197973,1.246786745,0.7150138793,-0.2001094008,0.0006795417417,0.02938016416,0.7054970249,0.04006651845,37.51608568,0.6914440319,0.4939212721,0.2877237336,0.03956717596
S009@R02,eegmmidb_rest,S009,ok,,64,160,8800,R02,eyes_closed,160.0,0.1686258151,0.3842892679,0.231468888,0.08536211079,-0.5882463305,0.6840005769,0.3865730346,0.7820649217,-0.2580387503,0.001081823425,0.14163414,0.1358568153,0.1199903424,42.60928061,0.9787147683,0.4926922369,0.2779157662,0.1342977522
S010@R01,eegmmidb_rest,S010,ok,,64,160,8800,R01,eyes_open,160.0,0.5478167433,0.06983858705,0.2727871212,0.9074346941,0.7714632726,2.361572617,1.481044661,0.4583015048,0.135322085,0.0007444862089,0.0717965748,0.6902308938,0.04775146218,22.52863891,0.6873954078,2.012923648,1.534785646,0.05975754289
S010@R02,eegmmidb_rest,S010,ok,,64,160,8800,R02,eyes_closed,160.0,0.5722596225,0.0617798694,0.1419923687,0.2856855987,1.672652416,3.264272297,0.8760407284,0.4494257282,0.1149287402,0.001026367085,0.3887866945,0.2996135181,0.03430432849,20.81749676,0.7970400843,2.194578743,1.555216253,0.2116597603
S011@R01,eegmmidb_rest,S011,ok,,64,160,8800,R01,eyes_open,160.0,0.519075605,0.07182097775,0.256780847,0.7912823472,4.584195973,1.696508935,1.759641316,0.4861122716,0.1278476006,0.001145041671,0.0334779774,0.7957891071,0.04194145983,18.73869037,0.579606995,2.130417905,1.436359081,0.0539684352
S011@R02,eegmmidb_rest,S011,ok,,64,160,8800,R02,eyes_closed,160.0,0.4609756949,0.102136875,0.05992909444,0.01804102458,5.124138238,2.057853894,0.8497512762,0.5179404951,0.07950213945,0.000864473044,0.3638725384,0.3269159765,0.05147164184,25.17318001,0.8069781959,1.880333675,1.300720556,0.09263763273
S012@R01,eegmmidb_rest,S012,ok,,64,160,8800,R01,eyes_open,160.0,0.4722011359,0.1166973134,0.3489672037,1.387986103,4.597638495,1.363461719,1.75716024,0.6531637306,0.07439181553,0.001279918274,0.04158252576,0.6086374381,0.04229623492,34.22118523,0.7640547574,1.138118172,0.9777904872,0.1191010557
S012@R02,eegmmidb_rest,S012,ok,,64,160,8800,R02,eyes_closed,160.0,0.4391915003,0.1133378256,0.1024546262,0.1008020108,3.939460777,1.840386237,1.335597455,0.594614748,0.1214616306,0.0007641917526,0.1213030142,0.5062813426,0.03698352818,29.42766628,0.8029233925,1.867373806,1.34226623,0.08893228371
S013@R01,eegmmidb_rest,S013,ok,,64,160,8800,R01,eyes_open,160.0,0.4594236036,0.1251082224,0.3057838862,0.947266277,4.785194053,2.496371415,1.207196922,0.794491009,0.009390627196,0.0009442097202,0.07751838697,0.54116152,0.03798057153,29.12623426,0.7947246665,1.724460765,1.267805859,0.06926750634
S013@R02,eegmmidb_rest,S013,ok,,64,160,8800,R02,eyes_closed,160.0,0.4600023288,0.1312134336,0.2326355478,0.5016315124,4.74640312,3.33369917,0.7581709758,0.8126785653,0.03691393358,0.001208805227,0.2306015882,0.2769710755,0.03770803298,26.36420712,0.8694691877,1.871075091,1.302424351,0.07132829346
S014@R01,eegmmidb_rest,S014,ok,,64,160,8800,R01,eyes_open,160.0,0.5313692009,0.0876260931,0.3127015429,1.163457864,-0.02299631057,1.487642814,1.218261437,0.7601401963,0.02577588596,0.0005721559405,0.1859329882,0.4394218359,0.05512933961,26.39682954,0.80989157,2.173730958,1.441442585,0.06349253235
S014@R02,eegmmidb_rest,S014,ok,,64,160,8800,R02,eyes_closed,160.0,0.6300059652,0.0661609077,0.1727629332,0.3876649659,-0.3905880961,1.86318856,0.9574417101,0.7384334724,-0.01227817865,0.0008050355649,0.4661263157,0.2480809117,0.04804141312,20.6418586,0.7882696113,2.180572214,1.417553911,0.1605023887
S015@R01,eegmmidb_rest,S015,ok,,64,160,8800,R01,eyes_open,160.0,0.3949191202,0.2178073666,0.3518698985,0.9452695701,4.345620269,2.123785417,0.4545415768,0.9080386637,-0.09723564338,0.0009311976775,0.2164894636,0.234093254,0.04502462075,35.28987327,0.9252079906,1.391055895,0.8438509246,0.1085936345
S015@R02,eegmmidb_rest,S015,ok,,64,160,8800,R02,eyes_closed,160.0,0.4303948282,0.157556211,0.2362806053,0.4598646697,4.344686932,2.496472068,0.2405425249,0.8717569803,-0.07267096741,0.0005788464699,0.3212730796,0.1817775003,0.04613853782,31.54023476,0.903396584,1.432676735,0.9496731471,0.07006580367
S016@R01,eegmmidb_rest,S016,ok,,64,160,8800,R01,eyes_open,160.0,0.5538532623,0.1506431608,0.3742213819,1.486322757,4.587538088,1.422173449,1.454377333,0.6479005508,-0.05245162629,0.004155606387,0.05898177958,0.6535575069,0.03136979046,29.99554765,0.7199124646,1.671729583,1.134692978,0.1215064521
S016@R02,eegmmidb_rest,S016,ok,,64,160,8800,R02,eyes_closed,160.0,0.4526569333,0.1460914813,0.4434924937,2.85941697,4.461440755,2.285009827,0.8629606688,0.6042068153,-0.02254898824,0.0006126318883,0.2797084961,0.2622507714,0.04055458769,30.96522179,0.8756880689,1.675734329,1.105145997,0.1655480175
S017@R01,eegmmidb_rest,S017,ok,,64,160,8800,R01,eyes_open,160.0,0.2228553261,0.2600412081,0.2024538888,0.1694081466,-0.348683235,0.3751811252,1.02379022,0.5987879201,-0.2432387101,0.001247106813,0.0866417116,0.3886573705,0.05790471141,40.91997993,0.8902557906,1.057492736,0.7136312208,0.09833219013
S017@R02,eegmmidb_rest,S017,ok,,64,160,8800,R02,eyes_closed,160.0,0.333062677,0.201930254,0.1752833795,0.1745864204,-0.4392240916,0.6681631312,0.6021444804,0.675898176,-0.2357842915,0.0008570713187,0.3681819337,0.2333798623,0.0397869574,39.00005526,0.888036874,1.233159253,0.7297181806,0.2416656709
S018@R01,eegmmidb_rest,S018,ok,,64,160,8800,R01,eyes_open,160.0,0.7813218666,0.05052029221,0.3335121909,1.607589737,4.163077766,1.871732303,2.023009605,0.4660561307,0.04537928457,0.009239629314,0.02195702258,0.8172705502,0.02326225171,10.07047785,0.5992560023,2.431310894,1.544601478,0.1551119181
S018@R02,eegmmidb_rest,S018,ok,,64,160,8800,R02,eyes_closed,160.0,0.4390225596,0.1352413366,0.1675669238,0.249832071,4.17800105,2.553108429,0.6690305547,0.6275952653,0.006741938164,0.0007988946542,0.2336224395,0.3088462769,0.03191596678,29.42015417,0.8676175104,1.747085497,1.218405195,0.1829636424
S019@R01,eegmmidb_rest,S019,ok,,64,160,8800,R01,eyes_open,160.0,0.4035030584,0.1579342982,0.4776631937,3.935641439,4.848213052,2.286275334,1.2756386,0.8371881661,-0.00906489814,0.001117792723,0.06649273581,0.5691032889,0.04484920157,31.89324599,0.7860978432,1.416494642,1.084498835,0.07778870303
S019@R02,eegmmidb_rest,S019,ok,,64,160,8800,R02,eyes_closed,160.0,0.4257097355,0.1377165028,0.1786446933,0.2813496343,4.935647407,2.593082907,1.057307012,0.7856152324,0.06476588774,0.0008240294367,0.1704694457,0.3881089581,0.03540460486,28.5568813,0.8484703722,1.811749523,1.269613779,0.1103815355
S020@R01,eegmmidb_rest,S020,ok,,64,160,8800,R01,eyes_open,160.0,0.3805584587,0.188890227,0.4192653434,1.854210847,3.363935313,0.958161725,1.253339578,0.6236089516,-0.06120615494,0.0008987303816,0.07830853278,0.512085092,0.06267058656,38.59279059,0.8157089335,1.979564376,1.071934877,0.04335473524
S020@R02,eegmmidb_rest,S020,ok,,64,160,8800,R02,eyes_closed,160.0,0.5494261623,0.06768537154,0.1852302108,0.4342573371,5.817270611,2.808608768,1.000854857,0.5756174717,0.04529689786,0.000896545556,0.3061131452,0.3821207448,0.0442879822,22.06303807,0.7868506448,2.137001139,1.524693666,0.08284193818
