recording_id,subject,label,emg_mean,emg_median,emg_p90,emg_sd,n_samples,sfreq,channels
SC4031E0-PSG@N1,SC4031E0-PSG,N1,3.49728,3.523,3.6468,0.147422,120,1,EMG submental
SC4031E0-PSG@N2,SC4031E0-PSG,N2,0.729817,0.719,0.859,0.10781,120,1,EMG submental
SC4031E0-PSG@N3,SC4031E0-PSG,N3,2.00228,2.009,2.274,0.220864,120,1,EMG submental
SC4031E0-PSG@REM,SC4031E0-PSG,REM,0.475667,0.435,0.5604,0.300877,120,1,EMG submental
SC4032E0-PSG@W,SC4032E0-PSG,W,2.46788,3.747,3.895,1.87823,120,1,EMG submental
SC4032E0-PSG@N1,SC4032E0-PSG,N1,3.08233,3.219,3.5608,0.734446,120,1,EMG submental
SC4032E0-PSG@N2,SC4032E0-PSG,N2,2.8583,3.145,3.5742,1.09651,120,1,EMG submental
SC4032E0-PSG@N3,SC4032E0-PSG,N3,1.3093,1.384,1.5806,0.371103,120,1,EMG submental
SC4032E0-PSG@REM,SC4032E0-PSG,REM,0.4139,0.404,0.515,0.0865074,120,1,EMG submental
SC4041E0-PSG@W,SC4041E0-PSG,W,2.87547,2.96,3.0382,0.36287,120,1,EMG submental
SC4041E0-PSG@N1,SC4041E0-PSG,N1,2.53027,2.548,2.7606,0.184641,120,1,EMG submental
SC4041E0-PSG@N2,SC4041E0-PSG,N2,0.74355,0.75,0.8888,0.13359,120,1,EMG submental
SC4041E0-PSG@N3,SC4041E0-PSG,N3,1.68235,1.677,1.7866,0.132797,120,1,EMG submental
SC4041E0-PSG@REM,SC4041E0-PSG,REM,0.6804,0.615,0.7934,0.563684,120,1,EMG submental
SC4042E0-PSG@W,SC4042E0-PSG,W,2.93227,3,3.0606,0.28428,120,1,EMG submental
SC4042E0-PSG@N1,SC4042E0-PSG,N1,2.24683,2.22,2.737,0.332324,120,1,EMG submental
SC4042E0-PSG@N2,SC4042E0-PSG,N2,1.45343,1.452,1.6312,0.149192,120,1,EMG submental
SC4042E0-PSG@N3,SC4042E0-PSG,N3,2.17862,2.209,2.3766,0.168531,120,1,EMG submental
SC4042E0-PSG@REM,SC4042E0-PSG,REM,1.25288,1.075,1.7414,0.488748,120,1,EMG submental
SC4051E0-PSG@W,SC4051E0-PSG,W,2.90735,2.917,3.0484,0.113047,120,1,EMG submental
